objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Impacted_Buildings_[#],G&Wp,average,100,11,3220.0,0.4,00_00_11_00
Impacted_Buildings_[#],G&Wp,average,100,13,2610.0,0.32,00_00_13_00
Impacted_Buildings_[#],Wp,average,20,0,850.0,0.96,00_00_00_00
Impacted_Buildings_[#],Wp,average,20,1,820.0,0.93,00_00_01_00
Impacted_Buildings_[#],Wp,average,20,3,780.0,0.88,00_00_03_00
Impacted_Buildings_[#],Wp,average,20,5,230.0,0.25,00_00_05_00
Impacted_Buildings_[#],Wp,average,20,7,250.0,0.28,00_00_07_00
Impacted_Buildings_[#],Wp,average,20,9,230.0,0.25,00_00_09_00
Impacted_Buildings_[#],Wp,average,20,11,850.0,0.96,00_00_11_00
Impacted_Buildings_[#],Wp,average,20,13,790.0,0.89,00_00_13_00
Impacted_Buildings_[#],Wp,average,60,0,3470.0,0.78,00_00_00_00
Impacted_Buildings_[#],Wp,average,60,1,2890.0,0.66,00_00_01_00
Impacted_Buildings_[#],Wp,average,60,3,2820.0,0.64,00_00_03_00
Impacted_Buildings_[#],Wp,average,60,5,990.0,0.22,00_00_05_00
Impacted_Buildings_[#],Wp,average,60,7,1210.0,0.27,00_00_07_00
Impacted_Buildings_[#],Wp,average,60,9,920.0,0.21,00_00_09_00
Impacted_Buildings_[#],Wp,average,60,11,3140.0,0.71,00_00_11_00
Impacted_Buildings_[#],Wp,average,60,13,2650.0,0.6,00_00_13_00
Impacted_Buildings_[#],Wp,average,100,0,5380.0,0.52,00_00_00_00
Impacted_Buildings_[#],Wp,average,100,1,2980.0,0.29,00_00_01_00
Impacted_Buildings_[#],Wp,average,100,3,2910.0,0.28,00_00_03_00
Impacted_Buildings_[#],Wp,average,100,5,1030.0,0.1,00_00_05_00
Impacted_Buildings_[#],Wp,average,100,7,1260.0,0.12,00_00_07_00
Impacted_Buildings_[#],Wp,average,100,9,960.0,0.09,00_00_09_00
Impacted_Buildings_[#],Wp,average,100,11,3570.0,0.35,00_00_11_00
Impacted_Buildings_[#],Wp,average,100,13,2830.0,0.28,00_00_13_00
