objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,05,9.7,0.39,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,06,7.42,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,07,8.42,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,08,6.77,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,09,0.57,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,01,41.74,0.42,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,03,40.86,0.41,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,05,75.4,0.75,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,06,57.13,0.57,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,07,35.74,0.36,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,08,27.08,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,09,43.63,0.44,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,01,96.8,0.54,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,03,95.91,0.53,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,05,143.54,0.8,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,06,118.89,0.66,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,07,69.04,0.38,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,08,58.44,0.32,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,09,115.07,0.64,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,01,2.53,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,03,5.17,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,05,9.94,0.4,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,06,7.54,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,07,8.75,0.35,00_07_00_00
