objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Measure_Costs,G,average,60,01,35.13,0.35,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,60,03,34.7,0.35,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,60,05,74.02,0.74,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,60,06,52.43,0.52,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,60,07,25.49,0.26,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,60,08,18.84,0.19,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,60,09,39.42,0.39,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,100,01,80.26,0.45,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,100,03,80.75,0.45,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,100,05,139.94,0.78,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,100,06,111.81,0.62,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,100,07,43.14,0.24,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,100,08,34.43,0.19,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,100,09,107.9,0.6,00_09_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,01,2.79,0.11,00_01_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,03,5.18,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,05,10.41,0.41,00_05_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,06,7.76,0.31,00_06_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,07,8.68,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,08,6.84,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,09,0.6,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,01,44.55,0.44,00_01_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,03,43.95,0.44,00_03_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,05,78.07,0.78,00_05_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,06,60.06,0.6,00_06_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,07,42.2,0.42,00_07_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,08,32.16,0.32,00_08_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,09,46.39,0.46,00_09_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,01,100.18,0.56,00_01_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,03,100.07,0.56,00_03_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,05,146.15,0.81,00_05_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,06,122.69,0.68,00_06_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,07,84.96,0.47,00_07_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,08,73.19,0.41,00_08_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,09,117.11,0.65,00_09_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,01,3.11,0.12,00_01_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,03,5.21,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,05,11.76,0.47,00_05_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,06,8.4,0.34,00_06_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,07,9.62,0.38,00_07_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,08,7.03,0.28,00_08_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,09,0.69,0.03,00_09_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,01,53.96,0.54,00_01_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,03,53.19,0.53,00_03_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,05,82.12,0.82,00_05_00_00
