objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Costs_[MEUR],D&G,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],D&G,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],D&G,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],D&G,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],D&G,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G,average,60,1,1090.0,0.51,00_00_00_01
Shipping_Costs_[MEUR],D&G,average,60,2,90.0,0.04,00_00_00_02
Shipping_Costs_[MEUR],D&G,average,60,4,150.0,0.07,00_00_00_04
Shipping_Costs_[MEUR],D&G,average,60,5,840.0,0.38,00_00_00_05
Shipping_Costs_[MEUR],D&G,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],D&G,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],D&G,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],D&G,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G,average,100,1,1550.0,0.47,00_00_00_01
Shipping_Costs_[MEUR],D&G,average,100,2,170.0,0.05,00_00_00_02
Shipping_Costs_[MEUR],D&G,average,100,4,260.0,0.08,00_00_00_04
Shipping_Costs_[MEUR],D&G,average,100,5,1370.0,0.41,00_00_00_05
Shipping_Costs_[MEUR],D&G,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],D&G,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],D&G,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],D&G&Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G&Wp,average,20,1,590.0,0.45,00_00_00_01
Shipping_Costs_[MEUR],D&G&Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],D&G&Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],D&G&Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],D&G&Wp,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],D&G&Wp,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],D&G&Wp,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],D&G&Wp,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G&Wp,average,60,1,1300.0,0.6,00_00_00_01
Shipping_Costs_[MEUR],D&G&Wp,average,60,2,540.0,0.25,00_00_00_02
Shipping_Costs_[MEUR],D&G&Wp,average,60,4,580.0,0.27,00_00_00_04
Shipping_Costs_[MEUR],D&G&Wp,average,60,5,1110.0,0.51,00_00_00_05
Shipping_Costs_[MEUR],D&G&Wp,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],D&G&Wp,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],D&G&Wp,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],D&G&Wp,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G&Wp,average,100,1,1850.0,0.56,00_00_00_01
Shipping_Costs_[MEUR],D&G&Wp,average,100,2,880.0,0.26,00_00_00_02
Shipping_Costs_[MEUR],D&G&Wp,average,100,4,940.0,0.28,00_00_00_04
Shipping_Costs_[MEUR],D&G&Wp,average,100,5,1740.0,0.53,00_00_00_05
Shipping_Costs_[MEUR],D&G&Wp,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],D&G&Wp,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],D&G&Wp,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],D&Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&Wp,average,20,1,600.0,0.46,00_00_00_01
Shipping_Costs_[MEUR],D&Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],D&Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],D&Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],D&Wp,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],D&Wp,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],D&Wp,average,20,9,1240.0,0.95,00_00_00_09
