objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],Wp,average,60,1,30.0,0.53,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,3,30.0,0.56,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,5,30.0,0.45,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,7,30.0,0.44,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,9,30.0,0.56,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,11,30.0,0.51,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,13,30.0,0.47,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,0,30.0,0.47,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,1,30.0,0.44,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,3,30.0,0.46,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,5,30.0,0.37,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,7,30.0,0.36,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,9,30.0,0.47,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,11,30.0,0.44,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,13,30.0,0.38,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,5,40.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,7,50.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,9,10.0,0.03,09_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,13,10.0,0.0,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,1,20.0,0.04,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,3,20.0,0.03,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,5,120.0,0.34,05_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,7,120.0,0.32,07_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,9,90.0,0.24,09_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,11,30.0,0.07,11_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,13,80.0,0.23,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,1,20.0,0.03,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,3,20.0,0.03,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,5,150.0,0.28,05_00_00_00
