objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,Wp,average,20,03,26.52,0.08,00_00_03_00
Municipality_Measure_Costs,Wp,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,Wp,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,Wp,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,Wp,average,20,11,22.0,0.07,00_00_11_00
Municipality_Measure_Costs,Wp,average,20,13,33.87,0.11,00_00_13_00
Municipality_Measure_Costs,Wp,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,Wp,average,60,01,120.26,0.22,00_00_01_00
Municipality_Measure_Costs,Wp,average,60,03,119.33,0.22,00_00_03_00
Municipality_Measure_Costs,Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,Wp,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,Wp,average,60,11,183.57,0.33,00_00_11_00
Municipality_Measure_Costs,Wp,average,60,13,254.41,0.46,00_00_13_00
Municipality_Measure_Costs,Wp,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,Wp,average,100,01,184.86,0.26,00_00_01_00
Municipality_Measure_Costs,Wp,average,100,03,178.63,0.25,00_00_03_00
Municipality_Measure_Costs,Wp,average,100,05,150.12,0.2,00_00_05_00
Municipality_Measure_Costs,Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,Wp,average,100,09,160.44,0.22,00_00_09_00
Municipality_Measure_Costs,Wp,average,100,11,375.76,0.52,00_00_11_00
Municipality_Measure_Costs,Wp,average,100,13,464.73,0.64,00_00_13_00
Municipality_Structural_Damage,D,average,20,00,636.54,0.95,00_00_00_00
Municipality_Structural_Damage,D,average,20,01,623.07,0.92,00_00_01_00
Municipality_Structural_Damage,D,average,20,03,591.48,0.88,00_00_03_00
Municipality_Structural_Damage,D,average,20,05,192.89,0.29,00_00_05_00
Municipality_Structural_Damage,D,average,20,07,217.34,0.32,00_00_07_00
Municipality_Structural_Damage,D,average,20,09,192.89,0.29,00_00_09_00
Municipality_Structural_Damage,D,average,20,11,635.77,0.95,00_00_11_00
Municipality_Structural_Damage,D,average,20,13,579.57,0.87,00_00_13_00
Municipality_Structural_Damage,D,average,60,00,2069.62,0.88,00_00_00_00
Municipality_Structural_Damage,D,average,60,01,1757.39,0.74,00_00_01_00
Municipality_Structural_Damage,D,average,60,03,1718.56,0.73,00_00_03_00
Municipality_Structural_Damage,D,average,60,05,695.03,0.29,00_00_05_00
Municipality_Structural_Damage,D,average,60,07,902.08,0.38,00_00_07_00
Municipality_Structural_Damage,D,average,60,09,652.63,0.28,00_00_09_00
Municipality_Structural_Damage,D,average,60,11,1887.55,0.8,00_00_11_00
Municipality_Structural_Damage,D,average,60,13,1666.71,0.7,00_00_13_00
Municipality_Structural_Damage,D,average,100,00,3198.36,0.82,00_00_00_00
Municipality_Structural_Damage,D,average,100,01,2053.98,0.52,00_00_01_00
Municipality_Structural_Damage,D,average,100,03,2008.5,0.51,00_00_03_00
Municipality_Structural_Damage,D,average,100,05,738.99,0.19,00_00_05_00
Municipality_Structural_Damage,D,average,100,07,997.16,0.25,00_00_07_00
Municipality_Structural_Damage,D,average,100,09,652.63,0.17,00_00_09_00
Municipality_Structural_Damage,D,average,100,11,2548.37,0.65,00_00_11_00
Municipality_Structural_Damage,D,average,100,13,2124.78,0.54,00_00_13_00
Municipality_Structural_Damage,D&G,average,20,00,679.71,0.93,00_00_00_00
Municipality_Structural_Damage,D&G,average,20,01,664.14,0.9,00_00_01_00
Municipality_Structural_Damage,D&G,average,20,03,631.54,0.86,00_00_03_00
Municipality_Structural_Damage,D&G,average,20,05,206.62,0.28,00_00_05_00
Municipality_Structural_Damage,D&G,average,20,07,231.22,0.32,00_00_07_00
Municipality_Structural_Damage,D&G,average,20,09,206.62,0.28,00_00_09_00
Municipality_Structural_Damage,D&G,average,20,11,678.76,0.93,00_00_11_00
Municipality_Structural_Damage,D&G,average,20,13,617.07,0.84,00_00_13_00
Municipality_Structural_Damage,D&G,average,60,00,2308.58,0.85,00_00_00_00
Municipality_Structural_Damage,D&G,average,60,01,1950.28,0.72,00_00_01_00
Municipality_Structural_Damage,D&G,average,60,03,1905.22,0.7,00_00_03_00
Municipality_Structural_Damage,D&G,average,60,05,752.67,0.28,00_00_05_00
Municipality_Structural_Damage,D&G,average,60,07,960.16,0.35,00_00_07_00
Municipality_Structural_Damage,D&G,average,60,09,709.57,0.26,00_00_09_00
Municipality_Structural_Damage,D&G,average,60,11,2088.82,0.77,00_00_11_00
Municipality_Structural_Damage,D&G,average,60,13,1859.84,0.69,00_00_13_00
Municipality_Structural_Damage,D&G,average,100,00,3683.57,0.76,00_00_00_00
Municipality_Structural_Damage,D&G,average,100,01,2226.65,0.46,00_00_01_00
Municipality_Structural_Damage,D&G,average,100,03,2177.18,0.45,00_00_03_00
Municipality_Structural_Damage,D&G,average,100,05,798.16,0.16,00_00_05_00
Municipality_Structural_Damage,D&G,average,100,07,1029.0,0.21,00_00_07_00
Municipality_Structural_Damage,D&G,average,100,09,709.57,0.15,00_00_09_00
Municipality_Structural_Damage,D&G,average,100,11,2702.36,0.56,00_00_11_00
Municipality_Structural_Damage,D&G,average,100,13,2255.22,0.46,00_00_13_00
Municipality_Structural_Damage,D&G&Wp,average,20,00,734.21,0.94,00_00_00_00
Municipality_Structural_Damage,D&G&Wp,average,20,01,715.18,0.92,00_00_01_00
Municipality_Structural_Damage,D&G&Wp,average,20,03,680.71,0.88,00_00_03_00
Municipality_Structural_Damage,D&G&Wp,average,20,05,211.33,0.27,00_00_05_00
Municipality_Structural_Damage,D&G&Wp,average,20,07,235.99,0.3,00_00_07_00
Municipality_Structural_Damage,D&G&Wp,average,20,09,211.33,0.27,00_00_09_00
Municipality_Structural_Damage,D&G&Wp,average,20,11,732.86,0.94,00_00_11_00
Municipality_Structural_Damage,D&G&Wp,average,20,13,671.54,0.86,00_00_13_00
Municipality_Structural_Damage,D&G&Wp,average,60,00,2694.77,0.82,00_00_00_00
Municipality_Structural_Damage,D&G&Wp,average,60,01,2260.75,0.69,00_00_01_00
Municipality_Structural_Damage,D&G&Wp,average,60,03,2208.9,0.67,00_00_03_00
Municipality_Structural_Damage,D&G&Wp,average,60,05,830.47,0.25,00_00_05_00
Municipality_Structural_Damage,D&G&Wp,average,60,07,1043.3,0.32,00_00_07_00
Municipality_Structural_Damage,D&G&Wp,average,60,09,779.37,0.24,00_00_09_00
Municipality_Structural_Damage,D&G&Wp,average,60,11,2437.21,0.74,00_00_11_00
Municipality_Structural_Damage,D&G&Wp,average,60,13,2122.58,0.65,00_00_13_00
Municipality_Structural_Damage,D&G&Wp,average,100,00,4248.67,0.64,00_00_00_00
Municipality_Structural_Damage,D&G&Wp,average,100,01,2475.0,0.37,00_00_01_00
Municipality_Structural_Damage,D&G&Wp,average,100,03,2420.2,0.36,00_00_03_00
Municipality_Structural_Damage,D&G&Wp,average,100,05,873.4,0.13,00_00_05_00
Municipality_Structural_Damage,D&G&Wp,average,100,07,1105.03,0.16,00_00_07_00
Municipality_Structural_Damage,D&G&Wp,average,100,09,792.46,0.12,00_00_09_00
Municipality_Structural_Damage,D&G&Wp,average,100,11,2991.54,0.45,00_00_11_00
Municipality_Structural_Damage,D&G&Wp,average,100,13,2443.71,0.37,00_00_13_00
