objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,G&Wp,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G&Wp,average,20,01,20.35,0.06,00_00_01_00
Municipality_Measure_Costs,G&Wp,average,20,03,26.23,0.08,00_00_03_00
Municipality_Measure_Costs,G&Wp,average,20,05,55.3,0.17,00_00_05_00
Municipality_Measure_Costs,G&Wp,average,20,07,144.02,0.44,00_00_07_00
Municipality_Measure_Costs,G&Wp,average,20,09,70.11,0.22,00_00_09_00
Municipality_Measure_Costs,G&Wp,average,20,11,21.93,0.07,00_00_11_00
Municipality_Measure_Costs,G&Wp,average,20,13,36.52,0.11,00_00_13_00
Municipality_Measure_Costs,G&Wp,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G&Wp,average,60,01,112.3,0.21,00_00_01_00
Municipality_Measure_Costs,G&Wp,average,60,03,111.3,0.2,00_00_03_00
Municipality_Measure_Costs,G&Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,G&Wp,average,60,07,350.58,0.64,00_00_07_00
Municipality_Measure_Costs,G&Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,G&Wp,average,60,11,176.93,0.32,00_00_11_00
Municipality_Measure_Costs,G&Wp,average,60,13,240.34,0.44,00_00_13_00
Municipality_Measure_Costs,G&Wp,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G&Wp,average,100,01,184.01,0.26,00_00_01_00
Municipality_Measure_Costs,G&Wp,average,100,03,177.94,0.25,00_00_03_00
Municipality_Measure_Costs,G&Wp,average,100,05,148.92,0.2,00_00_05_00
Municipality_Measure_Costs,G&Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,G&Wp,average,100,09,155.25,0.22,00_00_09_00
Municipality_Measure_Costs,G&Wp,average,100,11,380.0,0.53,00_00_11_00
Municipality_Measure_Costs,G&Wp,average,100,13,466.95,0.65,00_00_13_00
Municipality_Measure_Costs,Wp,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,Wp,average,20,01,20.28,0.06,00_00_01_00
Municipality_Measure_Costs,Wp,average,20,03,25.94,0.08,00_00_03_00
Municipality_Measure_Costs,Wp,average,20,05,54.6,0.17,00_00_05_00
Municipality_Measure_Costs,Wp,average,20,07,142.34,0.43,00_00_07_00
Municipality_Measure_Costs,Wp,average,20,09,69.22,0.21,00_00_09_00
Municipality_Measure_Costs,Wp,average,20,11,21.86,0.07,00_00_11_00
Municipality_Measure_Costs,Wp,average,20,13,36.04,0.11,00_00_13_00
Municipality_Measure_Costs,Wp,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,Wp,average,60,01,118.77,0.22,00_00_01_00
Municipality_Measure_Costs,Wp,average,60,03,117.88,0.22,00_00_03_00
Municipality_Measure_Costs,Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,Wp,average,60,07,349.36,0.63,00_00_07_00
Municipality_Measure_Costs,Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,Wp,average,60,11,181.95,0.33,00_00_11_00
Municipality_Measure_Costs,Wp,average,60,13,256.15,0.47,00_00_13_00
Municipality_Measure_Costs,Wp,average,100,00,0.0,0.0,00_00_00_00
