objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Measure_Costs,G,average,100,07,107.67,0.21,07_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,09,152.43,0.31,09_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,11,75.36,0.15,11_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,13,86.41,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,01,0.06,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,07,26.63,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,09,2.97,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,11,0.06,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,13,0.5,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,01,22.42,0.06,01_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,03,19.15,0.05,03_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,05,102.87,0.3,05_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,07,105.24,0.3,07_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,09,64.78,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,11,31.67,0.09,11_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,60,13,63.06,0.18,13_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,01,34.9,0.07,01_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,03,32.47,0.06,03_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,05,111.58,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,07,109.93,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,09,164.91,0.33,09_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,11,98.15,0.2,11_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,100,13,94.43,0.19,13_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,07,26.63,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,09,2.92,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,11,0.05,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,20,13,0.5,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,01,31.06,0.09,01_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,03,26.31,0.07,03_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,05,108.12,0.31,05_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,07,111.91,0.32,07_00_00_00
